Date,Price,Temperature,Consumption,Storage,Exports
1/15/2012,2.67,36.12,2756180,2910007,6199
2/15/2012,2.51,37.51,2500654,2448810,1880
3/15/2012,2.17,50.41,2127761,2473130,2615
4/15/2012,1.95,54.68,1953071,2611226,18
5/15/2012,2.43,63.45,1873835,2887060,2811
6/15/2012,2.46,70.54,1868356,3115447,2399
7/15/2012,2.95,76.77,2069773,3245201,12
8/15/2012,2.84,73.8,2008815,3406134,2455
9/15/2012,2.85,66.31,1807208,3693053,12
10/15/2012,3.32,53.89,1901084,3929250,4371
11/15/2012,3.54,44.01,2167841,3799215,7
12/15/2012,3.34,35.92,2503907,3412910,5520
1/15/2013,3.33,32.25,2878785,2699227,13
2/15/2013,3.33,34.77,2567155,2099354,22
3/15/2013,3.81,40.91,2521108,1719845,23
4/15/2013,4.17,49.68,1967458,1855188,21
5/15/2013,4.04,60.85,1752469,2269564,15
6/15/2013,3.83,70.39,1742917,2642648,12
7/15/2013,3.62,74.21,1926330,2936860,8
8/15/2013,3.43,72.99,1927379,3212006,9
9/15/2013,3.62,66.96,1766973,3564505,12
10/15/2013,3.68,53.44,1866762,3816996,16
11/15/2013,3.64,41.61,2316909,3605337,2747
12/15/2013,4.24,31.06,2920826,2889892,26
1/15/2014,4.71,30.56,3204129,1924922,29
2/15/2014,6,32.13,2741240,1199987,2694
3/15/2014,4.9,40.51,2557890,857311,28
4/15/2014,4.66,51.69,1961678,1066380,25
5/15/2014,4.58,61.27,1810222,1547944,1907
6/15/2014,4.59,69.58,1745351,2005475,17
7/15/2014,4.05,73.29,1881017,2399974,2827
8/15/2014,3.91,72.25,1933061,2768398,2863
9/15/2014,3.92,66.2,1809291,3187016,2904
10/15/2014,3.78,56.93,1912810,3587270,2904
11/15/2014,4.12,39.25,2357521,3426869,27
12/15/2014,3.48,36.81,2679165,3141222,28
1/15/2015,2.99,33.08,3114982,2407122,2832
2/15/2015,2.87,32.99,2925172,1665549,2748
3/15/2015,2.83,45.39,2591329,1471476,23
4/15/2015,2.61,53.24,2007922,1793086,24
5/15/2015,2.85,60.84,1858149,2287238,2769
6/15/2015,2.78,71.37,1899906,2646533,2774
7/15/2015,2.84,73.92,2067714,2924427,2771
8/15/2015,2.77,72.95,2052728,3241632,2763
9/15/2015,2.66,68.54,1901337,3614081,2767
10/15/2015,2.34,57.24,1987310,3942279,2769
11/15/2015,2.09,44.6,2249140,3926822,2969
