time,value
0,188
1,194
2,206
3,198
4,199
5,199
6,191
7,187
8,187
9,188
10,189
11,187
12,185
13,182
14,189
15,197
16,199
17,210
18,205
19,210
20,229
21,231
22,229
23,230
24,230
25,227
26,236
27,236
28,237
29,241
30,238
31,250
32,260
33,256
34,260
35,255
36,260
37,266
38,256
39,250
40,239
41,234
42,224
43,232
44,239
45,241
46,233
47,222
48,222
49,217
50,218
51,220
52,244
53,245
54,259
55,260
56,248
57,250
58,270
59,270
60,287
61,281
62,274
63,273
64,278
65,290
66,294
67,279
68,287
69,272
70,283
71,288
72,292
73,283
74,284
75,299
76,303
77,305
78,316
79,319
80,313
81,310
82,314
83,320
84,320
85,316
86,291
87,290
88,299
89,297
90,289
91,284
92,277
93,279
94,282
95,278
96,270
97,275
98,280
99,280
100,281
101,281
102,280
103,271
104,264
105,272
106,272
107,281
108,287
109,285
110,273
111,266
112,282
113,296
114,301
115,294
116,283
117,274
118,270
119,276
120,276
121,282
122,284
123,292
124,301
125,308
126,319
127,321
128,321
129,323
130,326
131,318
132,318
133,326
134,328
135,338
136,335
137,327
138,324
139,328
140,343
141,349
142,334
143,343
144,339
145,338
146,340
147,342
148,350
149,350
150,340
151,334
152,341
153,347
154,345
155,333
156,340
157,357
158,366
159,363
160,346
161,363
162,362
163,359
164,359
165,375
166,377
167,371
168,361
169,346
170,344
171,338
172,341
173,348
174,333
175,335
176,339
177,333
178,327
179,315
180,320
181,329
182,325
183,335
184,342
185,330
186,335
187,331
188,340
189,343
190,330
191,319
192,320
193,330
194,321
195,314
196,308
197,318
198,339
199,340
200,343
201,344
202,354
203,363
204,353
205,356
206,342
207,325
208,314
209,324
210,333
211,334
212,327
213,334
214,341
215,339
216,326
217,320
218,330
219,329
220,330
221,319
222,323
223,334
224,329
225,327
226,342
227,346
228,349
229,348
230,354
231,353
232,363
233,357
234,354
235,357
236,364
237,371
238,372
239,374
240,389
241,398
242,396
243,397
244,401
245,401
246,408
247,399
248,408
249,403
250,397
251,407
252,400
253,394
254,398
255,418
256,408
257,407
258,411
259,421
260,423
261,419
262,424
263,423
264,438
265,433
266,427
267,425
268,419
269,416
270,428
271,430
272,431
273,428
274,398
275,393
276,388
277,386
278,387
279,390
280,387
281,393
282,403
283,401
284,389
285,410
286,413
287,416
288,415
289,415
290,419
291,415
292,412
293,402
294,400
295,400
296,399
297,393
298,379
299,385
300,377
301,374
302,373
303,376
304,378
305,390
306,393
307,390
308,385
309,381
310,377
311,372
312,373
313,357
314,352
315,358
316,354
317,352
318,365
319,369
320,369
321,364
322,361
323,367
324,369
325,367
326,366
327,378
328,371
329,368
330,370
331,368
332,359
333,349
334,348
335,346
336,344
337,339
338,333
339,335
340,332
341,327
342,332
343,334
344,334
345,336
346,334
347,335
348,346
349,348
350,351
351,352
352,350
353,355
354,350
355,354
356,358
357,357
358,364
359,368
360,370
361,355
362,362
363,365
364,360
365,357
366,360
367,364
368,377
