time,value
0,2756180
1,2500654
2,2127761
3,1953071
4,1873835
5,1868356
6,2069773
7,2008815
8,1807208
9,1901084
10,2167841
11,2503907
12,2878785
13,2567155
14,2521108
15,1967458
16,1752469
17,1742917
18,1926330
19,1927379
20,1766973
21,1866762
22,2316909
23,2920826
24,3204129
25,2741240
26,2557890
27,1961678
28,1810222
29,1745351
30,1881017
31,1933061
32,1809291
33,1912810
34,2357521
35,2679165
36,3114982
37,2925172
38,2591329
39,2007922
40,1858149
41,1899906
42,2067714
43,2052728
44,1901337
45,1987310
46,2249140
47,2588168
48,3091695
49,2652260
50,2356298
51,2083848
52,1965799
53,2000656
54,2186616
55,2208375
56,1947752
57,1925203
58,2159445
59,2866273
60,2913823
61,2340217
62,2523331
63,1932042
64,1892010
65,1910441
66,2141595
67,2093773
68,1920466
69,2031510
70,2357258
71,3086015
72,3340935
73,2710719
74,2796708
75,2350481
76,2055019
77,2063144
78,2350719
79,2313836
80,2156063
81,2285854
82,2715942
83,2999510
84,3424302
85,3019120
86,2927812
87,2212386
88,2133985
89,2119341
90,2393904
91,2433924
92,2206252
93,2306544
94,2783754
95,3170717
96,3299777
97,3041481
98,2707481
99,2240544
100,2067048
101,2130675
102,2489307
103,2401321
104,2171842
105,2320028
106,2434877
107,3167833
108,3292364
109,3041816
110,2615634
111,2238454
112,2093777
113,2214929
114,2387996
115,2410935
116,2110187
117,2237715
118,2659971
119,2980105
120,3591889
